Date,NPI,Year,Month
189901,1009.94,1899,01
189902,1009.32,1899,02
189903,1009.78,1899,03
189904,1014.77,1899,04
189905,1014.55,1899,05
189906,1016.84,1899,06
189907,1017.79,1899,07
189908,1018,1899,08
189909,1013.85,1899,09
189910,1014.54,1899,10
189911,1002.74,1899,11
189912,1007.37,1899,12
190001,1006.55,1900,01
190002,1006.33,1900,02
190003,1005.12,1900,03
190004,1013.07,1900,04
190005,1012.47,1900,05
190006,1012.52,1900,06
190007,1015.89,1900,07
190008,1016.46,1900,08
190009,1014.93,1900,09
190010,1013.85,1900,10
190011,1012.12,1900,11
190012,1004.3,1900,12
190101,1008.91,1901,01
190102,1012.12,1901,02
190103,1012.53,1901,03
190104,1021.25,1901,04
190105,1016.54,1901,05
190106,1014.46,1901,06
190107,1016.52,1901,07
190108,1016.67,1901,08
190109,1013.49,1901,09
190110,1011.77,1901,10
190111,1010.29,1901,11
190112,1009.09,1901,12
190201,1006.04,1902,01
190202,1005.07,1902,02
190203,1016.9,1902,03
190204,1015.07,1902,04
190205,1015.47,1902,05
190206,1013.89,1902,06
190207,1016.82,1902,07
190208,1015.77,1902,08
190209,1015.33,1902,09
190210,1013.1,1902,10
190211,1012.14,1902,11
190212,1015.58,1902,12
190301,1010.16,1903,01
190302,1011.61,1903,02
190303,1018.05,1903,03
190304,1019.06,1903,04
190305,1015.04,1903,05
190306,1012.91,1903,06
190307,1018.3,1903,07
190308,1016.39,1903,08
190309,1015.78,1903,09
190310,1014.1,1903,10
190311,1010.62,1903,11
190312,1009.16,1903,12
190401,1011.89,1904,01
190402,1016.92,1904,02
190403,1016.95,1904,03
190404,1015.71,1904,04
190405,1014.72,1904,05
190406,1017.42,1904,06
190407,1016.72,1904,07
190408,1018.97,1904,08
190409,1016.21,1904,09
190410,1014.45,1904,10
190411,1009.51,1904,11
190412,1009.58,1904,12
190501,1008.95,1905,01
190502,1005.8,1905,02
190503,1008.58,1905,03
190504,1011.08,1905,04
190505,1016.09,1905,05
190506,1016.65,1905,06
190507,1017.87,1905,07
190508,1015.35,1905,08
190509,1015.71,1905,09
190510,1015.1,1905,10
190511,1009.13,1905,11
190512,1007.62,1905,12
190601,1013.69,1906,01
190602,1008.5,1906,02
190603,1012.52,1906,03
190604,1013.04,1906,04
190605,1016.04,1906,05
190606,1013.99,1906,06
190607,1017.32,1906,07
190608,1013.11,1906,08
190609,1014.6,1906,09
190610,1010.59,1906,10
190611,1011.79,1906,11
190612,1014.44,1906,12
190701,1014.62,1907,01
190702,1010.34,1907,02
190703,1019.52,1907,03
190704,1015.73,1907,04
190705,1014.25,1907,05
190706,1015.05,1907,06
190707,1017.1,1907,07
190708,1017.85,1907,08
190709,1016.85,1907,09
190710,1013.96,1907,10
190711,1012.34,1907,11
190712,1007.07,1907,12
190801,1008.57,1908,01
190802,1011.72,1908,02
190803,1019.41,1908,03
190804,1015.93,1908,04
190805,1015.19,1908,05
190806,1016.37,1908,06
190807,1016.26,1908,07
190808,1017.35,1908,08
190809,1015.61,1908,09
190810,1011.76,1908,10
190811,1006.5,1908,11
190812,1007.41,1908,12
190901,1014.26,1909,01
190902,1010,1909,02
190903,1014.81,1909,03
190904,1018.53,1909,04
190905,1015.15,1909,05
190906,1015.72,1909,06
190907,1017.3,1909,07
190908,1016.26,1909,08
190909,1014.87,1909,09
190910,1011.63,1909,10
190911,1014.64,1909,11
190912,1012.98,1909,12
191001,1015.62,1910,01
191002,1007.92,1910,02
191003,1008.26,1910,03
191004,1014.18,1910,04
191005,1013.07,1910,05
191006,1016.19,1910,06
191007,1017.95,1910,07
191008,1018.61,1910,08
191009,1015.23,1910,09
191010,1012.85,1910,10
191011,1011.02,1910,11
191012,1008.62,1910,12
191101,1018.42,1911,01
191102,1010.93,1911,02
191103,1014.92,1911,03
191104,1016.89,1911,04
191105,1014.8,1911,05
191106,1014.02,1911,06
191107,1018.19,1911,07
191108,1019.83,1911,08
191109,1016.15,1911,09
191110,1010.31,1911,10
191111,1011.31,1911,11
191112,1009.8,1911,12
191201,1004.72,1912,01
191202,1005.28,1912,02
191203,1016.07,1912,03
191204,1012.79,1912,04
191205,1013.67,1912,05
191206,1015.26,1912,06
191207,1017.28,1912,07
191208,1015.08,1912,08
191209,1013.29,1912,09
191210,1013.82,1912,10
191211,1008.46,1912,11
191212,1008.65,1912,12
191301,1010.44,1913,01
191302,1009.02,1913,02
191303,1010.49,1913,03
191304,1015.22,1913,04
191305,1013.81,1913,05
191306,1013.16,1913,06
191307,1019,1913,07
191308,1016.95,1913,08
191309,1013.59,1913,09
191310,1013.38,1913,10
191311,1012.04,1913,11
191312,1003.56,1913,12
191401,1008.9,1914,01
191402,1004.07,1914,02
191403,1016.78,1914,03
191404,1013.64,1914,04
191405,1016.9,1914,05
191406,1014.86,1914,06
191407,1016.51,1914,07
191408,1016.62,1914,08
191409,1016.84,1914,09
191410,1009.93,1914,10
191411,1011.64,1914,11
191412,1011.18,1914,12
191501,1010.08,1915,01
191502,1011.39,1915,02
191503,1007.98,1915,03
191504,1011.03,1915,04
191505,1012.47,1915,05
191506,1019.38,1915,06
191507,1019.29,1915,07
191508,1016.2,1915,08
191509,1015.11,1915,09
191510,1014.24,1915,10
191511,1012.38,1915,11
191512,1010.61,1915,12
191601,1018,1916,01
191602,1010.88,1916,02
191603,1012.31,1916,03
191604,1014.57,1916,04
191605,1018.19,1916,05
191606,1016.52,1916,06
191607,1018.17,1916,07
191608,1016.14,1916,08
191609,1015.87,1916,09
191610,1016.61,1916,10
191611,1015.01,1916,11
191612,1008.18,1916,12
191701,1012.96,1917,01
191702,1007.88,1917,02
191703,1016.75,1917,03
191704,1015.02,1917,04
191705,1015.42,1917,05
191706,1018.13,1917,06
191707,1020.13,1917,07
191708,1016.85,1917,08
191709,1015.91,1917,09
191710,1015.12,1917,10
191711,1011.36,1917,11
191712,1006.8,1917,12
191801,1005.11,1918,01
191802,1011.27,1918,02
191803,1016.98,1918,03
191804,1016.9,1918,04
191805,1017.2,1918,05
191806,1015.71,1918,06
191807,1015.45,1918,07
191808,1017.21,1918,08
191809,1014.1,1918,09
191810,1012.22,1918,10
191811,1010.73,1918,11
191812,1008.1,1918,12
191901,1007.94,1919,01
191902,1004.96,1919,02
191903,1011.09,1919,03
191904,1012.03,1919,04
191905,1012.21,1919,05
191906,1016.81,1919,06
191907,1020.24,1919,07
191908,1016.89,1919,08
191909,1015.5,1919,09
191910,1016.19,1919,10
191911,1013.32,1919,11
191912,1007.56,1919,12
192001,1012.04,1920,01
192002,1010.65,1920,02
192003,1016.32,1920,03
192004,1017.75,1920,04
192005,1017.16,1920,05
192006,1013.93,1920,06
192007,1016.53,1920,07
192008,1015.97,1920,08
192009,1014.17,1920,09
192010,1012.28,1920,10
192011,1011.53,1920,11
192012,1007.81,1920,12
192101,1012.33,1921,01
192102,1003.84,1921,02
192103,1013.58,1921,03
192104,1017.07,1921,04
192105,1016.21,1921,05
192106,1012.14,1921,06
192107,1020.49,1921,07
192108,1016.52,1921,08
192109,1015.52,1921,09
192110,1013.55,1921,10
192111,1007.44,1921,11
192112,1010.64,1921,12
192201,1009.16,1922,01
192202,1016.38,1922,02
192203,1011.4,1922,03
192204,1016.94,1922,04
192205,1015.21,1922,05
192206,1016.74,1922,06
192207,1021.53,1922,07
192208,1016.5,1922,08
192209,1016.95,1922,09
192210,1012.33,1922,10
192211,1011.77,1922,11
192212,1003.33,1922,12
192301,1012.4,1923,01
192302,1011.43,1923,02
192303,1015.39,1923,03
192304,1012.25,1923,04
192305,1015.77,1923,05
192306,1013.97,1923,06
192307,1018.03,1923,07
192308,1015.45,1923,08
192309,1014.86,1923,09
192310,1009.05,1923,10
192311,1007.84,1923,11
192312,1010.94,1923,12
192401,1005.62,1924,01
192402,1006.28,1924,02
192403,1011.54,1924,03
192404,1017.68,1924,04
192405,1014.01,1924,05
192406,1016.52,1924,06
192407,1017.72,1924,07
192408,1016.52,1924,08
192409,1012.97,1924,09
192410,1014.58,1924,10
192411,1008.08,1924,11
192412,1007.92,1924,12
192501,1009.44,1925,01
192502,1004.8,1925,02
192503,1011.41,1925,03
192504,1016.09,1925,04
192505,1011.9,1925,05
192506,1015.74,1925,06
192507,1017.46,1925,07
192508,1018.49,1925,08
192509,1014.92,1925,09
192510,1009.71,1925,10
192511,1009.88,1925,11
192512,1005.47,1925,12
192601,1001.45,1926,01
192602,1002.77,1926,02
192603,1006.15,1926,03
192604,1008.82,1926,04
192605,1012.9,1926,05
192606,1013.67,1926,06
192607,1017.55,1926,07
192608,1015.44,1926,08
192609,1014.83,1926,09
192610,1008.03,1926,10
192611,1006.36,1926,11
192612,1008.89,1926,12
192701,1009.2,1927,01
192702,1000.33,1927,02
192703,1015.04,1927,03
192704,1018.08,1927,04
192705,1017.48,1927,05
192706,1013.29,1927,06
192707,1019.37,1927,07
192708,1015.67,1927,08
192709,1011.79,1927,09
192710,1012.41,1927,10
192711,1011.19,1927,11
192712,1010.47,1927,12
192801,1005.77,1928,01
192802,1005.61,1928,02
192803,1009.55,1928,03
192804,1013.48,1928,04
192805,1013.86,1928,05
192806,1014.99,1928,06
192807,1017.25,1928,07
192808,1017.25,1928,08
192809,1016.01,1928,09
192810,1012.39,1928,10
192811,1006.94,1928,11
192812,1004.12,1928,12
192901,1005.46,1929,01
192902,1007.24,1929,02
192903,1014.58,1929,03
192904,1014.6,1929,04
192905,1013.53,1929,05
192906,1013.14,1929,06
192907,1017.89,1929,07
192908,1015.97,1929,08
192909,1012.14,1929,09
192910,1009.38,1929,10
192911,1011.63,1929,11
192912,1011.01,1929,12
193001,1008.45,1930,01
193002,1006.7,1930,02
193003,1016.88,1930,03
193004,1012.96,1930,04
193005,1013.92,1930,05
193006,1014.62,1930,06
193007,1017.19,1930,07
193008,1017.62,1930,08
193009,1016.23,1930,09
193010,1011.17,1930,10
193011,1012.19,1930,11
193012,1003.98,1930,12
193101,998.66,1931,01
193102,1006.42,1931,02
193103,1009.84,1931,03
193104,1013.43,1931,04
193105,1014.1,1931,05
193106,1013.74,1931,06
193107,1016.76,1931,07
193108,1016.54,1931,08
193109,1016.21,1931,09
193110,1013.24,1931,10
193111,1012.69,1931,11
193112,1012.08,1931,12
193201,1012.54,1932,01
193202,1012.29,1932,02
193203,1006.16,1932,03
193204,1011.86,1932,04
193205,1014.48,1932,05
193206,1015.54,1932,06
193207,1017.86,1932,07
193208,1017.36,1932,08
193209,1015.11,1932,09
193210,1011.99,1932,10
193211,1012.02,1932,11
193212,1006.37,1932,12
193301,1012.46,1933,01
193302,1011.25,1933,02
193303,1011.16,1933,03
193304,1014.92,1933,04
193305,1016.13,1933,05
193306,1015.67,1933,06
193307,1019.07,1933,07
193308,1015.68,1933,08
193309,1014.27,1933,09
193310,1011.86,1933,10
193311,1012.46,1933,11
193312,1009.78,1933,12
193401,1004.68,1934,01
193402,998.63,1934,02
193403,1007.76,1934,03
193404,1013.34,1934,04
193405,1014.12,1934,05
193406,1016.08,1934,06
193407,1019.28,1934,07
193408,1017.7,1934,08
193409,1013.33,1934,09
193410,1012.07,1934,10
193411,1009.17,1934,11
193412,1008.02,1934,12
193501,1005.87,1935,01
193502,1008.24,1935,02
193503,1013.23,1935,03
193504,1015.84,1935,04
193505,1014.58,1935,05
193506,1013.54,1935,06
193507,1017.95,1935,07
193508,1018.09,1935,08
193509,1013.6,1935,09
193510,1015.91,1935,10
193511,1013.48,1935,11
193512,1001.35,1935,12
193601,1003.24,1936,01
193602,1004.93,1936,02
193603,1014.53,1936,03
193604,1013.09,1936,04
193605,1012.8,1936,05
193606,1014.19,1936,06
193607,1017.75,1936,07
193608,1017.68,1936,08
193609,1015.22,1936,09
193610,1009.59,1936,10
193611,1010.39,1936,11
193612,1012.22,1936,12
193701,1017.39,1937,01
193702,1013.42,1937,02
193703,1011.17,1937,03
193704,1015.37,1937,04
193705,1012.44,1937,05
193706,1012.53,1937,06
193707,1017.36,1937,07
193708,1018.11,1937,08
193709,1015.61,1937,09
193710,1008.5,1937,10
193711,1011.19,1937,11
193712,1006.82,1937,12
193801,1008.4,1938,01
193802,1007.19,1938,02
193803,1011.08,1938,03
193804,1009.93,1938,04
193805,1014.12,1938,05
193806,1014.19,1938,06
193807,1018.74,1938,07
193808,1019.37,1938,08
193809,1013.09,1938,09
193810,1008.72,1938,10
193811,1011.69,1938,11
193812,1005.24,1938,12
193901,1007.56,1939,01
193902,1008.79,1939,02
193903,1013.67,1939,03
193904,1015.32,1939,04
193905,1015.39,1939,05
193906,1016.32,1939,06
193907,1017.13,1939,07
193908,1016.18,1939,08
193909,1014.86,1939,09
193910,1013.89,1939,10
193911,1010.04,1939,11
193912,1000.95,1939,12
194001,998.68,1940,01
194002,1001.72,1940,02
194003,1007.03,1940,03
194004,1008.64,1940,04
194005,1014.86,1940,05
194006,1014.73,1940,06
194007,1016.19,1940,07
194008,1016.28,1940,08
194009,1012.8,1940,09
194010,1010.68,1940,10
194011,1010.7,1940,11
194012,1003.13,1940,12
194101,1001.01,1941,01
194102,1002.41,1941,02
194103,1009.52,1941,03
194104,1010.07,1941,04
194105,1015.56,1941,05
194106,1012.68,1941,06
194107,1016.02,1941,07
194108,1015.94,1941,08
194109,1014.02,1941,09
194110,1013.18,1941,10
194111,1012.24,1941,11
194112,1006.84,1941,12
194201,1001.25,1942,01
194202,1006.46,1942,02
194203,1013.71,1942,03
194204,1011.89,1942,04
194205,1014.66,1942,05
194206,1015,1942,06
194207,1016.54,1942,07
194208,1014.72,1942,08
194209,1013.45,1942,09
194210,1013.35,1942,10
194211,1015.46,1942,11
194212,1012.28,1942,12
194301,1007.83,1943,01
194302,1010.27,1943,02
194303,1015.82,1943,03
194304,1010.19,1943,04
194305,1015.22,1943,05
194306,1014.95,1943,06
194307,1016.41,1943,07
194308,1017.17,1943,08
194309,1013.9,1943,09
194310,1010.64,1943,10
194311,1005.96,1943,11
194312,1005.97,1943,12
194401,1001.84,1944,01
194402,1010.73,1944,02
194403,1014.5,1944,03
194404,1012.33,1944,04
194405,1013.95,1944,05
194406,1015.23,1944,06
194407,1017.61,1944,07
194408,1017.8,1944,08
194409,1016.79,1944,09
194410,1014.31,1944,10
194411,1007.76,1944,11
194412,-999,1944,12
194501,1000.37,1945,01
194502,1005.02,1945,02
194503,1011.15,1945,03
194504,1018.37,1945,04
194505,1012.48,1945,05
194506,1016.22,1945,06
194507,1016.23,1945,07
194508,1018.61,1945,08
194509,1014.54,1945,09
194510,1012.88,1945,10
194511,1016.1,1945,11
194512,1004.14,1945,12
194601,1006.72,1946,01
194602,1006.27,1946,02
194603,1013.4,1946,03
194604,1014.63,1946,04
194605,1014.3,1946,05
194606,1015.64,1946,06
194607,1016.54,1946,07
194608,1017.14,1946,08
194609,1014.32,1946,09
194610,1014.2,1946,10
194611,1014.62,1946,11
194612,1013.31,1946,12
194701,1012.8,1947,01
194702,1001.92,1947,02
194703,1010.71,1947,03
194704,1013.05,1947,04
194705,1012.09,1947,05
194706,1014.45,1947,06
194707,1016.89,1947,07
194708,1018.15,1947,08
194709,1016.64,1947,09
194710,1010.5,1947,10
194711,1007.25,1947,11
194712,1009.65,1947,12
194801,1009.12,1948,01
194802,1014,1948,02
194803,1016.66,1948,03
194804,1020.68,1948,04
194805,1016.02,1948,05
194806,1015.45,1948,06
194807,1017.24,1948,07
194808,1017.84,1948,08
194809,1015.48,1948,09
194810,1010.82,1948,10
194811,1010.59,1948,11
194812,1014.17,1948,12
194901,1012,1949,01
194902,1010.89,1949,02
194903,1006.94,1949,03
194904,1013.55,1949,04
194905,1015.5,1949,05
194906,1016.56,1949,06
194907,1018.76,1949,07
194908,1017.02,1949,08
194909,1013.08,1949,09
194910,1012.41,1949,10
194911,1008.08,1949,11
194912,1010.48,1949,12
195001,1014.87,1950,01
195002,1010.4,1950,02
195003,1008.13,1950,03
195004,1015.49,1950,04
195005,1015.47,1950,05
195006,1015.51,1950,06
195007,1016.23,1950,07
195008,1012.76,1950,08
195009,1012.62,1950,09
195010,1010.76,1950,10
195011,1016.37,1950,11
195012,1007.97,1950,12
195101,1008.32,1951,01
195102,1011.16,1951,02
195103,1015.69,1951,03
195104,1011.91,1951,04
195105,1012.74,1951,05
195106,1014.2,1951,06
195107,1017.91,1951,07
195108,1016.23,1951,08
195109,1012.42,1951,09
195110,1011.47,1951,10
195111,1009.47,1951,11
195112,1013.85,1951,12
195201,1010.38,1952,01
195202,1007.72,1952,02
195203,1014.06,1952,03
195204,1013.69,1952,04
195205,1015.81,1952,05
195206,1014.48,1952,06
195207,1018.43,1952,07
195208,1016.99,1952,08
195209,1014.38,1952,09
195210,1012.42,1952,10
195211,1008.9,1952,11
195212,1003.78,1952,12
195301,1002.53,1953,01
195302,1008.16,1953,02
195303,1014.61,1953,03
195304,1010.4,1953,04
195305,1013.4,1953,05
195306,1017.13,1953,06
195307,1018.2,1953,07
195308,1016.7,1953,08
195309,1015.67,1953,09
195310,1010.53,1953,10
195311,1005.94,1953,11
195312,1008.12,1953,12
195401,1010.84,1954,01
195402,1007.36,1954,02
195403,1016.82,1954,03
195404,1017.54,1954,04
195405,1013.66,1954,05
195406,1013.36,1954,06
195407,1018.15,1954,07
195408,1016.84,1954,08
195409,1015.01,1954,09
195410,1010.67,1954,10
195411,1005.62,1954,11
195412,1011.77,1954,12
195501,1007.1,1955,01
195502,1015.4,1955,02
195503,1016.18,1955,03
195504,1016.59,1955,04
195505,1014.88,1955,05
195506,1015.61,1955,06
195507,1016.98,1955,07
195508,1018.18,1955,08
195509,1016.16,1955,09
195510,1013.07,1955,10
195511,1013.02,1955,11
195512,1011.47,1955,12
195601,1010.2,1956,01
195602,1012.86,1956,02
195603,1013.95,1956,03
195604,1014.2,1956,04
195605,1013.64,1956,05
195606,1015.27,1956,06
195607,1018.8,1956,07
195608,1015.04,1956,08
195609,1013.9,1956,09
195610,1016.21,1956,10
195611,1010.96,1956,11
195612,1007.56,1956,12
195701,1013.8,1957,01
195702,1011.3,1957,02
195703,1007.93,1957,03
195704,1014.95,1957,04
195705,1011.94,1957,05
195706,1012.76,1957,06
195707,1018.57,1957,07
195708,1016.29,1957,08
195709,1011.65,1957,09
195710,1010.73,1957,10
195711,1008.59,1957,11
195712,1012.35,1957,12
195801,1001.04,1958,01
195802,1002.69,1958,02
195803,1014.45,1958,03
195804,1012.54,1958,04
195805,1013.81,1958,05
195806,1014.54,1958,06
195807,1016.45,1958,07
195808,1016.55,1958,08
195809,1014.04,1958,09
195810,1014.63,1958,10
195811,1011.24,1958,11
195812,1005.69,1958,12
195901,1008.4,1959,01
195902,1013.36,1959,02
195903,1012.83,1959,03
195904,1016.05,1959,04
195905,1014.96,1959,05
195906,1014.75,1959,06
195907,1018.35,1959,07
195908,1017.1,1959,08
195909,1012.19,1959,09
195910,1010.36,1959,10
195911,1009.2,1959,11
195912,1010.16,1959,12
196001,1005.94,1960,01
196002,1007.61,1960,02
196003,1013.4,1960,03
196004,1014.8,1960,04
196005,1014.86,1960,05
196006,1016.56,1960,06
196007,1017.04,1960,07
196008,1016.99,1960,08
196009,1016.06,1960,09
196010,1011.9,1960,10
196011,1012.13,1960,11
196012,1005.51,1960,12
